case_id,probe_id,wall_location,z_over_height,window,minimum_Pa,maximum_Pa,mean_Pa,rms_Pa,p95_Pa,p99_Pa,peak_to_peak_Pa,harmonic_amplitude_Pa,qa_status
forced-fine-co035-pressure-t24,pressure-left-outer-h10,left-outer,0.1,last_cycle,33423.684,48759.388,41252.207985446985,41616.9691800655,48651.27,48743.6834,15335.703999999998,7564.963827680746,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h10,left-outer,0.1,final_three_cycles,33337.791,48805.07,41247.527808466344,41618.39642803434,48685.886,48760.8928,15467.279000000002,7822.629350128023,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h30,left-outer,0.3,full_run,12839.089,28508.602,20616.926672291665,21279.89360488772,27824.125350000002,28114.93953,15669.512999999999,7430.628762659153,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h30,left-outer,0.3,last_cycle,13069.242,27919.239,20566.05528898129,21226.993653764992,27810.751,27909.3334,14849.997000000001,7341.28865898886,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h30,left-outer,0.3,final_three_cycles,13069.242,28054.569,20582.75786814712,21242.869693137094,27860.329,28012.699399999998,14985.327,7422.566394733722,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h50,left-outer,0.5,full_run,-68.21331,9378.8569,3135.7309361982516,4730.201185502676,9025.14653,9233.075286000001,9447.07021,4743.16111552477,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h50,left-outer,0.5,last_cycle,-67.371029,9378.8569,3159.6524189451143,4786.533087078975,9136.3139,9356.25678,9446.227929,5761.817435832182,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h50,left-outer,0.5,final_three_cycles,-67.634015,9378.8569,3146.0981086633587,4749.352768505639,8949.0224,9259.01772,9446.490915,4809.577484248893,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h70,left-outer,0.7,full_run,-92.135936,-74.920722,-83.72360685312499,83.93113403068753,-75.32924465,-75.19137251,17.215214000000003,8.332590634188731,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h70,left-outer,0.7,last_cycle,-91.907914,-75.16955,-83.73052855717255,83.9384835953414,-75.319014,-75.2261536,16.738364000000004,8.418724883713411,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h70,left-outer,0.7,final_three_cycles,-91.973281,-75.158114,-83.73112556072172,83.93935912843985,-75.328313,-75.2249068,16.815167000000002,8.352648853207276,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h90,left-outer,0.9,full_run,-116.02394,-99.261554,-107.86011151104167,108.01894819061918,-99.4651828,-99.31948141,16.762385999999992,8.278146169983712,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h90,left-outer,0.9,last_cycle,-115.96765,-99.293816,-107.86007182120582,108.01859249331866,-99.54672,-99.3248586,16.673834,8.310116395750631,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-left-outer-h90,left-outer,0.9,final_three_cycles,-115.97823,-99.293816,-107.86392396668981,108.02254131190092,-99.479868,-99.3255672,16.68441399999999,8.277547210870384,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h10,right-inner,0.1,full_run,37092.144,44640.075,40907.62998104166,40981.4018156562,44520.2521,44615.43043,7547.930999999997,3458.2005655689763,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h10,right-inner,0.1,last_cycle,37469.821,44566.665,40912.69562785863,40987.09206594866,44517.406,44557.058600000004,7096.843999999997,3417.8665271822647,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h10,right-inner,0.1,final_three_cycles,37442.475,44602.734,40917.87559333796,40992.31742923799,44529.576,44578.0366,7160.258999999998,3482.727649827749,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h30,right-inner,0.3,full_run,16749.25,24946.277,20755.012060416666,20912.07382719935,24564.6995,24786.75086,8197.026999999998,3595.5247408150954,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h30,right-inner,0.3,last_cycle,17041.905,24702.918,20732.127596673596,20888.425781927945,24614.501,24696.1716,7661.013000000003,3487.853934263822,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h30,right-inner,0.3,final_three_cycles,17041.905,24711.753,20761.04028591256,20915.286616854333,24561.23,24696.115999999998,7669.848000000002,3576.164013679828,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h50,right-inner,0.5,full_run,-62.201873,5483.3949,1643.176259757498,2494.012965811871,4973.4914149999995,5277.530440000001,5545.596773,2479.784164687604,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h50,right-inner,0.5,last_cycle,-61.305347,5091.4785,1693.2973884779417,2565.3443701127835,4934.5812,5081.703280000001,5152.783847000001,2402.649475130336,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h50,right-inner,0.5,final_three_cycles,-61.515981,5195.7901,1682.4459020209576,2545.0617172215816,4978.6666,5128.82468,5257.306081,2545.7555272256254,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h70,right-inner,0.7,full_run,-86.139689,-80.89209,-83.70251279666665,83.71555633828022,-81.39015995,-81.08547649,5.247599000000008,2.0667066064364517,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h70,right-inner,0.7,last_cycle,-85.701156,-81.045906,-83.69824575675676,83.71105148967804,-81.506609,-81.123215,4.655249999999995,2.1020772540789467,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h70,right-inner,0.7,final_three_cycles,-85.761222,-81.019497,-83.70358187578071,83.7166242247302,-81.418809,-81.1016296,4.741725000000002,2.0737158251815004,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h90,right-inner,0.9,full_run,-109.95625,-105.30176,-107.89906554166667,107.91004323366093,-105.43538050000001,-105.3824176,4.654489999999996,2.1502418517435746,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h90,right-inner,0.9,last_cycle,-109.81584,-105.39373,-107.89615507276507,107.90689496729867,-105.44271,-105.406994,4.422109999999989,2.212573871979222,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-inner-h90,right-inner,0.9,final_three_cycles,-109.84626,-105.38218,-107.8940815336572,107.90491847552634,-105.44271,-105.401636,4.464079999999996,2.1456980106306505,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h10,right-outer,0.1,full_run,33158.146,49036.177,41252.53562958333,41631.90249294544,48759.23265,48946.139359999994,15878.031000000003,7912.348985462939,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h10,right-outer,0.1,last_cycle,33372.284,48843.717,41272.3858960499,41645.37109022941,48740.547,48835.8226,15471.432999999997,7802.3293723955385,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h10,right-outer,0.1,final_three_cycles,33280.312,48843.717,41260.289932685635,41637.013278107945,48683.165,48829.1864,15563.404999999999,7887.790494587912,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h30,right-outer,0.3,full_run,12908.205,28229.603,20547.67930375,21199.660360513266,27726.8598,27969.15017,15321.398,7359.844747665936,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h30,right-outer,0.3,last_cycle,13117.5,27908.893,20589.57275259875,21242.997242651087,27819.689,27902.394800000002,14791.393,7312.080550880684,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h30,right-outer,0.3,final_three_cycles,13065.658,28000.854,20588.183956974324,21245.541324115493,27833.324,27956.3784,14935.196,7406.138140944043,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h50,right-outer,0.5,full_run,-68.392252,9380.6944,3141.770289623277,4757.9968092476365,8991.490675000001,9181.510493,9449.086652,4756.310356764422,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h50,right-outer,0.5,last_cycle,-67.294372,9055.315,3161.6728089232856,4766.771073341391,8934.9884,9043.07468,9122.609372,3830.3836439809256,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h50,right-outer,0.5,final_three_cycles,-67.645966,9375.8087,3159.36435188619,4767.850113361271,8955.6878,9226.546699999997,9443.454666,4734.807947028473,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h70,right-outer,0.7,full_run,-92.066749,-74.9485,-83.71758794270833,83.92467995239186,-75.327417,-75.20662587,17.118249000000006,8.325426345311607,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h70,right-outer,0.7,last_cycle,-91.898187,-75.216529,-83.71589394802494,83.92168219359509,-75.325624,-75.24934040000001,16.681658,8.185519616076546,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h70,right-outer,0.7,final_three_cycles,-91.962333,-75.180828,-83.72298589243582,83.93020612746336,-75.326309,-75.2406226,16.781504999999996,8.32489794511411,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h90,right-outer,0.9,full_run,-116.02017,-99.228603,-107.86151966958333,108.02042544224079,-99.4938471,-99.33070670999999,16.791566999999986,8.280300317544734,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h90,right-outer,0.9,last_cycle,-115.97893,-99.381092,-107.8613926860707,108.02051198420402,-99.491134,-99.3920774,16.59783800000001,8.259575822164818,configured_limit_exceeded
forced-fine-co035-pressure-t24,pressure-right-outer-h90,right-outer,0.9,final_three_cycles,-115.97893,-99.272912,-107.86085934698127,108.01988995967358,-99.506252,-99.3510378,16.706018,8.284933325827412,configured_limit_exceeded
